tmdb_id,title,release_date,year,overview,vote_average,vote_count,popularity,poster_path
1197137,Black Phone 2,2025-10-15,2025,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",6.858,649,64.1096,/gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,2025,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",7.855,228,68.164,/xdzLBZjCVSEsic7m7nJc4jNJZVW.jpg
617126,The Fantastic 4: First Steps,2025-07-23,2025,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",7.027,2559,52.8613,/pZPJsaFKWheTOerVhLnpP8TPp4B.jpg
1128650,The Prosecutor,2024-12-08,2024,"A poor young man is wrongly charged with drug trafficking after being deceived. An ex-prosecutor investigates the case, uncovers a corrupt lawyer team's scheme, and restores justice despite obstruction from evil forces.",6.831,157,51.5185,/n3ZnFqp988MWfIkT8OHofEJfjlt.jpg
575265,Mission: Impossible - The Final Reckoning,2025-05-17,2025,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",7.264,2139,53.2542,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg
402431,Wicked,2024-11-20,2024,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",6.923,2648,47.9074,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg
1218762,Jingle Bell Heist,2025-11-25,2025,Two down-on-their-luck hourly workers team up to rob a posh London department store on Christmas Eve. Will they steal each other's hearts along the way?,6.073,83,42.9892,/rVOQF2Ucekug1B80A9crVx7Jn90.jpg
1038392,The Conjuring: Last Rites,2025-09-03,2025,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,6.976,1404,46.7255,/byWgphT74ClOVa8EOGzYDkl8DVL.jpg
1244531,Beast of War,2025-09-18,2025,"When their boat sinks while crossing the Timor Sea during World War II, a troop of young Australian soldiers must find a way to survive the harsh seas on a quickly shrinking raft. Hundreds of miles from anywhere, they must confront interpersonal conflicts, enemy attacks, and the advances of one very large, very hungry great white shark.",6.365,52,44.1296,/2xgDjVEOtu5LlbPEngxfbCqWEFg.jpg
1084222,Operation Blood Hunt,2024-12-12,2024,"Prolific expert of the occult and whiskey, Reverend Conte, accompanies a ragtag group of military rejects to a remote South Pacific Island to investigate the disappearance of Marines units  stationed there in 1944, said to be at the hands of the Japanese Imperial Army. Upon speaking  with the island’s inhabitants, they soon discover the Marines had actually been massacred by a group of Lycanthropes, known to most as WEREWOLVES.",6.676,51,46.4359,/wYf4Eq3c4iOa856tEwh3GHruHZW.jpg
1010581,My Fault,2023-06-08,2023,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.766,3931,42.1452,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
1061474,Superman,2025-07-09,2025,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",7.414,3922,41.0622,/ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg
1234821,Jurassic World Rebirth,2025-07-01,2025,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",6.381,2559,40.2258,/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg
1242419,Roofman,2025-10-08,2025,"A former Army Ranger and struggling father turns to robbing McDonald’s restaurants by cutting holes in their roofs, earning him the nickname 'Roofman'. After escaping prison, he secretly lives inside a Toys “R” Us for six months, surviving undetected while planning his next move. But when he falls for a divorced mom drawn to his undeniable charm, his double life begins to unravel, setting off a compelling and suspenseful game of cat and mouse as his past closes in.",7.2,252,42.6256,/pUpFD3Oq1eN5mdF9MDwCwH874P8.jpg
507089,Five Nights at Freddy's,2023-10-25,2023,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",7.375,4647,39.9168,/4dKRTUylqwXQ4VJz0BS84fqW2wa.jpg
1241983,Train Dreams,2025-11-05,2025,A logger leads a life of quiet grace as he experiences love and loss during an era of monumental change in early 20th-century America.,7.338,205,35.1518,/l3zS4YnpOi4usyEXGJMtxSqDDyb.jpg
957119,Sidelined: The QB and Me,2025-02-06,2025,"Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?",6.092,109,35.9429,/mSL6truNrWP1Bn9ng1rN0SkMI4f.jpg
911430,F1,2025-06-25,2025,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,7.806,2679,37.5529,/vqBmyAj0Xm9LnS1xe1MSlMAJyHq.jpg
1156594,Our Fault,2025-10-15,2025,"Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",7.466,539,37.766,/yzqHt4m1SeY9FbPrfZ0C2Hi9x1s.jpg
1161617,Code 3,2025-09-12,2025,A burned-out paramedic tries to survive his last 24 hours on the job while training a new recruit.,6.683,131,36.2956,/gIAYMDb5mIAeCAj76q1sRsKjkzo.jpg
798645,The Running Man,2025-11-11,2025,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite - and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",6.8,245,33.3663,/dKL78O9zxczVgjtNcQ9UkbYLzqX.jpg
1087192,How to Train Your Dragon,2025-06-06,2025,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",7.991,2225,33.6998,/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg
736526,Troll,2022-11-30,2022,"When an explosion in the Norwegian mountains awakens an ancient troll, officials appoint a fearless paleontologist to stop it from wreaking deadly havoc.",6.6,1872,35.1091,/ulgKdif3ubMACDltr8VZy6fyVjW.jpg
1299655,Blue Moon,2025-10-17,2025,"On the evening of March 31, 1943, legendary lyricist Lorenz Hart confronts his shattered self-confidence in Sardi’s bar as his former collaborator Richard Rodgers celebrates the opening night of his ground-breaking hit musical “Oklahoma!”.",6.805,60,30.8892,/AetJmEIrhww0xnfktYgNl6ztDrl.jpg
1175942,The Bad Guys 2,2025-07-24,2025,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",7.755,545,34.0666,/c1msaKf1wyuKcmLjjJd6rIBPFcd.jpg
1007734,Nobody 2,2025-08-13,2025,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",7.0,1022,30.908,/xGLoqM9peusKQeuwlSw2Qlhx740.jpg
793387,Holy Night: Demon Hunters,2025-04-30,2025,"When a devil-worshipping criminal network plunges Seoul into chaos, the police turn to Holy Night—a trio of supernatural demon hunters—to restore order and defeat the rising evil.",6.768,71,30.4987,/v3Mo77Qjp6pctpD4eJaNT6kFRSB.jpg
